,id,date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood (target)
1,AS14.01,21-03-14,0,0,0,0,1,0,0,6.2,0.2,0.2,0.134050104,153.6658718,1,0,14.26917273,55.09552632,53.024,6.193,0,57.402,29.968875,75.14166667,70.41884615,0,23.029,0,0
2,AS14.01,22-03-14,0,0,0,0,0,1,0,6.4,0.6,0.5,0.236880219,47.61365116,1,1,7.781159574,51.6970625,46.662,7.025333333,0,0,14.02042857,36.636,37.305,0,39.207,0,0
3,AS14.01,23-03-14,0,0,0,0,0,0,1,6.8,0.2,0.8,0.142741116,67.06764358,0,0,12.13439623,53.44203061,31.44866667,10.85075,0,0,12.13716667,50.04661111,0,0,30.086,30.386,0
4,AS14.01,24-03-14,1,0,0,0,0,0,0,6,0.8,0,0.078961056,76.77219898,1,0,4.982505747,47.54168718,122.121375,5.684333333,0,3.01,11.093,74.96804651,83.961,0,89.366,0,0
5,AS14.01,25-03-14,0,1,0,0,0,0,0,6.75,0.5,0.5,0.098374112,169.0972835,0,1,10.02687379,69.43750676,34.103,10.7635,0,0,29.80316667,68.55253571,0,29.402875,22.2893,0,0
6,AS14.01,26-03-14,0,0,1,0,0,0,0,6.6,-0.2,0.6,0.101308322,94.38966092,0,0,8.460123188,47.06153403,130.0684286,8.721833333,0,0,16.24966667,124.1097027,0,0,33.365,0,0
7,AS14.01,27-03-14,0,0,0,1,0,0,0,7,0.2,0.8,0.159510641,129.2011111,1,1,7.982642857,43.3532,71.03766667,14.073,0,15.20425,9.755333333,71.95238462,23.657,0,16.27536364,0,0
8,AS14.01,28-03-14,0,0,0,0,1,0,0,6.4,-0.6,0.6,0.095698022,55.94873863,1,0,81.14995968,24.07869444,91.40027273,12.738,116.518,0,37.6585,25.63705,59.63205263,0,30.1717,0,0
9,AS14.01,29-03-14,0,0,0,0,0,1,0,8,0.2,1,0.06820281,130.0409687,1,1,23.52566265,47.7314386,108.4952667,0,0,0,24.22771429,59.111,17.47833333,0,25.02654167,0,0
10,AS14.01,30-03-14,0,0,0,0,0,0,1,7.5,-0.5,0.75,0.049092971,167.5264445,0,0,7.818207547,61.83357143,170.6307778,0,0,0,12.33383333,55.895,0,33.2385,38.296,0,0
